MARY,2.629,2.629
PATRICIA,1.073,3.702
LINDA,1.035,4.736
BARBARA,0.98,5.716
ELIZABETH,0.937,6.653
JENNIFER,0.932,7.586
MARIA,0.828,8.414
SUSAN,0.794,9.209
MARGARET,0.768,9.976
DOROTHY,0.727,10.703
LISA,0.704,11.407
NANCY,0.669,12.075
KAREN,0.667,12.742
BETTY,0.666,13.408
HELEN,0.663,14.071
SANDRA,0.629,14.7
DONNA,0.583,15.282
CAROL,0.565,15.848
RUTH,0.562,16.41
SHARON,0.522,16.932
MICHELLE,0.519,17.451
LAURA,0.51,17.961
SARAH,0.508,18.469
KIMBERLY,0.504,18.973
DEBORAH,0.494,19.467
JESSICA,0.49,19.958
SHIRLEY,0.482,20.439
CYNTHIA,0.469,20.908
ANGELA,0.468,21.376
MELISSA,0.462,21.839
BRENDA,0.455,22.293
AMY,0.451,22.745
ANNA,0.44,23.185
REBECCA,0.43,23.615
VIRGINIA,0.43,24.044
KATHLEEN,0.424,24.468
PAMELA,0.416,24.884
MARTHA,0.412,25.297
DEBRA,0.408,25.704
AMANDA,0.404,26.108
STEPHANIE,0.4,26.508
CAROLYN,0.385,26.893
CHRISTINE,0.382,27.275
MARIE,0.379,27.655
JANET,0.379,28.034
CATHERINE,0.373,28.408
FRANCES,0.37,28.777
ANN,0.364,29.141
JOYCE,0.364,29.505
DIANE,0.359,29.864
ALICE,0.357,30.221
JULIE,0.348,30.568
HEATHER,0.337,30.905
TERESA,0.336,31.241
DORIS,0.335,31.577
GLORIA,0.335,31.912
EVELYN,0.322,32.233
JEAN,0.315,32.548
CHERYL,0.315,32.863
MILDRED,0.313,33.176
KATHERINE,0.313,33.489
JOAN,0.306,33.795
ASHLEY,0.303,34.098
JUDITH,0.297,34.395
ROSE,0.296,34.691
JANICE,0.285,34.975
KELLY,0.283,35.258
NICOLE,0.281,35.539
JUDY,0.276,35.815
CHRISTINA,0.275,36.09
KATHY,0.272,36.362
THERESA,0.271,36.633
BEVERLY,0.267,36.9
DENISE,0.264,37.164
TAMMY,0.259,37.423
IRENE,0.252,37.675
JANE,0.25,37.925
LORI,0.248,38.173
RACHEL,0.242,38.415
MARILYN,0.241,38.657
ANDREA,0.236,38.893
KATHRYN,0.234,39.127
LOUISE,0.229,39.356
SARA,0.229,39.584
ANNE,0.228,39.812
JACQUELINE,0.228,40.04
WANDA,0.226,40.266
BONNIE,0.223,40.489
JULIA,0.223,40.711
RUBY,0.221,40.932
LOIS,0.22,41.153
TINA,0.22,41.372
PHYLLIS,0.219,41.591
NORMA,0.218,41.809
PAULA,0.217,42.026
DIANA,0.216,42.242
ANNIE,0.216,42.458
LILLIAN,0.211,42.669
EMILY,0.208,42.877
ROBIN,0.208,43.085
PEGGY,0.208,43.293
CRYSTAL,0.207,43.5
GLADYS,0.205,43.705
RITA,0.204,43.908
DAWN,0.202,44.111
CONNIE,0.2,44.311
FLORENCE,0.2,44.511
TRACY,0.197,44.708
EDNA,0.197,44.904
TIFFANY,0.195,45.1
CARMEN,0.195,45.295
ROSA,0.194,45.489
CINDY,0.192,45.681
GRACE,0.189,45.869
WENDY,0.185,46.055
VICTORIA,0.18,46.235
EDITH,0.179,46.414
KIM,0.178,46.592
SHERRY,0.178,46.77
SYLVIA,0.177,46.947
JOSEPHINE,0.177,47.123
THELMA,0.175,47.298
SHANNON,0.175,47.473
SHEILA,0.175,47.648
ETHEL,0.174,47.822
ELLEN,0.173,47.995
ELAINE,0.173,48.168
MARJORIE,0.173,48.341
CARRIE,0.171,48.512
CHARLOTTE,0.169,48.68
MONICA,0.166,48.847
ESTHER,0.166,49.013
PAULINE,0.165,49.178
EMMA,0.165,49.342
JUANITA,0.164,49.506
ANITA,0.162,49.669
RHONDA,0.162,49.83
HAZEL,0.161,49.991
AMBER,0.16,50.151
EVA,0.159,50.31
DEBBIE,0.157,50.467
APRIL,0.154,50.621
LESLIE,0.154,50.775
CLARA,0.153,50.928
LUCILLE,0.153,51.081
JAMIE,0.153,51.235
JOANNE,0.15,51.385
ELEANOR,0.15,51.535
VALERIE,0.149,51.684
DANIELLE,0.149,51.833
MEGAN,0.147,51.981
ALICIA,0.146,52.126
SUZANNE,0.145,52.272
MICHELE,0.145,52.417
GAIL,0.145,52.562
BERTHA,0.143,52.704
DARLENE,0.142,52.847
VERONICA,0.142,52.989
JILL,0.142,53.131
ERIN,0.141,53.272
GERALDINE,0.141,53.413
LAUREN,0.137,53.55
CATHY,0.137,53.687
JOANN,0.136,53.823
LORRAINE,0.135,53.958
LYNN,0.135,54.093
SALLY,0.135,54.228
REGINA,0.133,54.36
ERICA,0.13,54.49
BEATRICE,0.13,54.62
DOLORES,0.129,54.749
BERNICE,0.128,54.877
AUDREY,0.127,55.003
YVONNE,0.126,55.129
ANNETTE,0.125,55.255
JUNE,0.125,55.38
SAMANTHA,0.124,55.504
MARION,0.122,55.626
DANA,0.122,55.748
STACY,0.121,55.869
ANA,0.12,55.989
RENEE,0.12,56.109
IDA,0.118,56.227
VIVIAN,0.118,56.346
ROBERTA,0.117,56.463
HOLLY,0.117,56.58
BRITTANY,0.117,56.697
MELANIE,0.116,56.813
LORETTA,0.115,56.928
YOLANDA,0.115,57.043
JEANETTE,0.115,57.158
LAURIE,0.114,57.271
