SMITH,1.006,1.006
JOHNSON,0.81,1.816
WILLIAMS,0.699,2.515
JONES,0.621,3.136
BROWN,0.621,3.757
DAVIS,0.48,4.237
MILLER,0.424,4.66
WILSON,0.339,5
MOORE,0.312,5.312
TAYLOR,0.311,5.623
ANDERSON,0.311,5.934
THOMAS,0.311,6.245
JACKSON,0.31,6.554
WHITE,0.279,6.834
HARRIS,0.275,7.109
MARTIN,0.273,7.382
THOMPSON,0.269,7.651
GARCIA,0.254,7.905
MARTINEZ,0.234,8.14
ROBINSON,0.233,8.372
CLARK,0.231,8.603
RODRIGUEZ,0.229,8.832
LEWIS,0.226,9.058
LEE,0.22,9.278
WALKER,0.219,9.497
HALL,0.2,9.698
ALLEN,0.199,9.897
YOUNG,0.193,10.09
HERNANDEZ,0.192,10.282
KING,0.19,10.472
WRIGHT,0.189,10.662
LOPEZ,0.187,10.849
HILL,0.187,11.035
SCOTT,0.185,11.22
GREEN,0.183,11.403
ADAMS,0.174,11.577
BAKER,0.171,11.748
GONZALEZ,0.166,11.915
NELSON,0.162,12.077
CARTER,0.162,12.239
MITCHELL,0.16,12.399
PEREZ,0.155,12.554
ROBERTS,0.153,12.707
TURNER,0.152,12.859
PHILLIPS,0.149,13.008
CAMPBELL,0.149,13.157
PARKER,0.146,13.302
EVANS,0.141,13.443
EDWARDS,0.137,13.58
COLLINS,0.134,13.714
STEWART,0.133,13.847
SANCHEZ,0.13,13.977
MORRIS,0.125,14.102
ROGERS,0.123,14.225
REED,0.122,14.347
COOK,0.12,14.467
MORGAN,0.118,14.585
BELL,0.117,14.702
MURPHY,0.117,14.819
BAILEY,0.115,14.934
RIVERA,0.113,15.047
COOPER,0.113,15.16
RICHARDSON,0.112,15.272
COX,0.11,15.382
HOWARD,0.11,15.492
WARD,0.108,15.6
TORRES,0.108,15.708
PETERSON,0.107,15.815
GRAY,0.106,15.921
RAMIREZ,0.105,16.026
JAMES,0.105,16.131
WATSON,0.103,16.233
BROOKS,0.103,16.336
KELLY,0.102,16.438
SANDERS,0.1,16.537
PRICE,0.099,16.637
BENNETT,0.099,16.736
WOOD,0.098,16.834
BARNES,0.097,16.931
ROSS,0.096,17.027
HENDERSON,0.095,17.122
COLEMAN,0.095,17.217
JENKINS,0.095,17.312
PERRY,0.094,17.406
POWELL,0.093,17.499
LONG,0.092,17.591
PATTERSON,0.092,17.684
HUGHES,0.092,17.776
FLORES,0.092,17.868
WASHINGTON,0.092,17.959
BUTLER,0.091,18.05
SIMMONS,0.091,18.141
FOSTER,0.091,18.231
GONZALES,0.087,18.318
BRYANT,0.087,18.405
ALEXANDER,0.085,18.49
RUSSELL,0.085,18.574
GRIFFIN,0.084,18.659
DIAZ,0.084,18.742
HAYES,0.083,18.825
MYERS,0.083,18.908
FORD,0.082,18.99
HAMILTON,0.082,19.072
GRAHAM,0.082,19.154
SULLIVAN,0.081,19.234
WALLACE,0.081,19.315
WOODS,0.08,19.395
COLE,0.08,19.476
WEST,0.08,19.555
JORDAN,0.078,19.634
OWENS,0.078,19.711
REYNOLDS,0.078,19.789
FISHER,0.077,19.866
ELLIS,0.077,19.943
HARRISON,0.076,20.019
GIBSON,0.075,20.094
MCDONALD,0.075,20.169
CRUZ,0.075,20.244
MARSHALL,0.075,20.319
ORTIZ,0.075,20.394
GOMEZ,0.075,20.468
MURRAY,0.074,20.543
FREEMAN,0.074,20.617
WELLS,0.073,20.69
WEBB,0.072,20.762
SIMPSON,0.07,20.832
STEVENS,0.07,20.902
TUCKER,0.07,20.971
PORTER,0.069,21.041
HUNTER,0.069,21.11
HICKS,0.069,21.178
CRAWFORD,0.068,21.246
HENRY,0.068,21.314
BOYD,0.068,21.381
MASON,0.068,21.449
MORALES,0.067,21.516
KENNEDY,0.067,21.582
WARREN,0.067,21.649
DIXON,0.066,21.715
RAMOS,0.066,21.782
REYES,0.066,21.848
BURNS,0.065,21.913
GORDON,0.065,21.978
SHAW,0.065,22.043
HOLMES,0.065,22.108
RICE,0.064,22.172
ROBERTSON,0.064,22.236
HUNT,0.063,22.299
BLACK,0.063,22.362
DANIELS,0.062,22.425
PALMER,0.062,22.487
MILLS,0.061,22.547
NICHOLS,0.06,22.607
GRANT,0.06,22.667
KNIGHT,0.06,22.727
FERGUSON,0.059,22.786
ROSE,0.059,22.845
STONE,0.059,22.904
HAWKINS,0.059,22.963
DUNN,0.058,23.022
PERKINS,0.058,23.079
HUDSON,0.058,23.137
SPENCER,0.057,23.194
GARDNER,0.057,23.251
STEPHENS,0.057,23.308
PAYNE,0.057,23.365
PIERCE,0.056,23.421
BERRY,0.056,23.477
MATTHEWS,0.056,23.533
ARNOLD,0.056,23.589
WAGNER,0.055,23.645
WILLIS,0.055,23.7
RAY,0.055,23.755
WATKINS,0.055,23.811
OLSON,0.055,23.866
CARROLL,0.055,23.921
DUNCAN,0.055,23.976
SNYDER,0.055,24.031
HART,0.054,24.086
CUNNINGHAM,0.054,24.14
BRADLEY,0.054,24.194
LANE,0.054,24.247
ANDREWS,0.054,24.301
RUIZ,0.054,24.355
HARPER,0.054,24.408
FOX,0.053,24.462
RILEY,0.053,24.515
ARMSTRONG,0.053,24.568
CARPENTER,0.053,24.621
WEAVER,0.053,24.673
GREENE,0.053,24.726
LAWRENCE,0.052,24.779
