JAMES,3.318,3.318
JOHN,3.271,6.589
ROBERT,3.143,9.732
MICHAEL,2.629,12.361
WILLIAM,2.451,14.812
DAVID,2.363,17.176
RICHARD,1.703,18.878
CHARLES,1.523,20.401
JOSEPH,1.404,21.805
THOMAS,1.38,23.185
CHRISTOPHER,1.035,24.22
DANIEL,0.974,25.194
PAUL,0.948,26.142
MARK,0.938,27.081
DONALD,0.931,28.012
GEORGE,0.927,28.939
KENNETH,0.826,29.766
STEVEN,0.78,30.546
EDWARD,0.779,31.325
BRIAN,0.736,32.061
RONALD,0.725,32.787
ANTHONY,0.721,33.508
KEVIN,0.671,34.179
JASON,0.66,34.839
MATTHEW,0.657,35.496
GARY,0.65,36.147
TIMOTHY,0.64,36.786
JOSE,0.613,37.399
LARRY,0.598,37.997
JEFFREY,0.591,38.588
FRANK,0.581,39.169
SCOTT,0.546,39.715
ERIC,0.544,40.259
STEPHEN,0.54,40.799
ANDREW,0.537,41.335
RAYMOND,0.488,41.824
GREGORY,0.441,42.265
JOSHUA,0.435,42.7
JERRY,0.432,43.132
DENNIS,0.415,43.547
WALTER,0.399,43.946
PATRICK,0.389,44.335
PETER,0.381,44.716
HAROLD,0.371,45.087
DOUGLAS,0.367,45.454
HENRY,0.365,45.819
CARL,0.346,46.165
ARTHUR,0.335,46.5
RYAN,0.328,46.828
ROGER,0.322,47.15
JOE,0.321,47.471
JUAN,0.316,47.786
JACK,0.315,48.102
ALBERT,0.314,48.415
JONATHAN,0.313,48.729
JUSTIN,0.311,49.04
TERRY,0.311,49.351
GERALD,0.309,49.66
KEITH,0.308,49.968
SAMUEL,0.306,50.274
WILLIE,0.302,50.576
RALPH,0.282,50.859
LAWRENCE,0.282,51.141
NICHOLAS,0.275,51.415
ROY,0.273,51.688
BENJAMIN,0.27,51.958
BRUCE,0.263,52.221
BRANDON,0.26,52.48
ADAM,0.259,52.74
HARRY,0.251,52.991
FRED,0.251,53.241
WAYNE,0.249,53.49
BILLY,0.248,53.738
STEVE,0.246,53.984
LOUIS,0.243,54.227
JEREMY,0.242,54.469
AARON,0.24,54.71
RANDY,0.232,54.942
HOWARD,0.23,55.172
EUGENE,0.23,55.402
CARLOS,0.229,55.63
RUSSELL,0.224,55.854
BOBBY,0.223,56.077
VICTOR,0.222,56.299
MARTIN,0.216,56.515
ERNEST,0.215,56.73
PHILLIP,0.213,56.942
TODD,0.213,57.155
